INDEX ALPHABETIZED BY YIDDISH SPELLING,,זוכצעטל לויטן ייִדישן אויסלייג,,,,,,,
,,,,,,,,,
/IZLUTShITSE/?,Ukraine,איזלוטשיסטע,,,,,,,
/IZMA'YL/,Ukraine,איזמײַל,,,,,,,
/IZE/,Ukraine,איזע,,,,,,,
/I'ZhBITs/,Poland,איזשביץ,,,,,,,
/I'ZhBITs(E)/,Poland,איזשביצ(ע),,,,,,,
/I'ZhNITsE/,Ukraine,איזשניצע,,,,,,,
/ITE/,Ukraine,איטע,,,,,,,
/ITShNyE/,Ukraine,איטשניע,,,,,,,
/A'yBINITs/,Czech Republic,אײַביניץ,,,,,,,
/A'yBER-VIShNITsE/,Ukraine,אייבער־ווישניצע,,,,,,,
/A'YBER-APShE/,Ukraine,אייבעראַפּשע,,,,,,,
/A'YBERGODy/,Hungary,אייבערגאָד,,,,,,,
"/A'yBERVI'Sh(E)VE/, /I'NTERVI'Sh(E)VE/, /MI'TLVI'Sh(E)VE",Romania,"אייבערוויש(ע)ווע, אונטערוויש(ע)ווע, מיטל־וויש(ע)ווע",,,,,,,
/A'yBERTEKISh/,Slovakia,אייבערטעקיש,,,,,,,
/A'yBERLOPISh/,Poland,אייבערלאָפּיש,,,,,,,
/A'yBERMIShLE/,Slovakia,אייבערמישלע,,,,,,,
/A'yBERSOVAT/?,Romania,אייבערסאָוואַט?,,,,,,,
/E'yBERSUTSh/,Slovakia,אייבערסוטש,,,,,,,
/A'yBERSETSh/,Romania,אייבערסעטש,,,,,,,
/A'yBERREMET/,Ukraine,אייבעררעמעט,,,,,,,
/EyDLITs(h)/,Czech Republic,"איידליץ, איידליטש",,,,,,,
/AYZNShTO:T/,Austria,אײַזנשטאָט,,,,,,,
/E'YShIShOK/,Lithuania,איישישאָק,,,,,,,
/ILAVE/ (stress?),Hungary,אילאַווע,,,,,,,
/ILAVE/,Slovakia,אילאַווע,,,,,,,
/ILANDE/,Romania,אילאַנדע,,,,,,,
/ILU'KST/,Latvia,אילוקסט,,,,,,,
/ILyE/,Belarus,איליע,,,,,,,
/ILEV/,Poland,אילעוו,,,,,,,
/I'LEVE/,Poland,אילעווע,,,,,,,
/I'LENEV/,Poland,אילענעוו,,,,,,,
/I'LENEV/? /ALONEV/?,Ukraine,אילענעוו? אַלאָנעוו?,,,,,,,
/I'MENITs/,Ukraine,אימעניץ,,,,,,,
/INGULyE'Ts/?,Ukraine,אינגולעץ?,,,,,,,
/INTURIK/,Lithuania,אינטוריק,,,,,,,
/I'NyEVE/,Poland,איניעווע,,,,,,,
/I'NEBLITs/,Poland,אינעבליץ,,,,,,,
/INTsDORF/,Slovakia,"אינצדאָרף, הינסדאָרף",,,,,,,
/I'ST(E)RIK/,Poland,איסט(ע)ריק,,,,,,,
/I'STETShKE/,Ukraine,איסטעטשקע,,,,,,,
/ISKE/,Ukraine,איסקע,,,,,,,
/IY?EZD/,Poland,איִעזד,,,,,,,
/ITsKA'N/,Romania,איצקאַן,,,,,,,
/IShOMER/,Ukraine,אישאָמער,,,,,,,
/I'ShTShINEV/,Poland,אישטשינעוו,,,,,,,
/IShTShE/,Ukraine,אישטשע,,,,,,,
/IShTShE SOLNE/,Poland,אישטשע סאָלנע,,,,,,,
/OKhOTE/,Poland,אָכאָטע,,,,,,,
