"בערג.
",2
ראָב,6
הין,26
צוריק,34
אָפּגעטריקנט,2
טױב,20
אָפּגעפֿאַלן,13
אָפּרו,4
פֿוסטריט,18
אומגעקערט,240
אױסגעשטרעקט,57
אַרײַנגעבראַכט,21
אָפּגעװאַרט,4
אַנדערע,46
אָװנטצײַט,5
אָפּגעריסן,9
אײלבערטבלאַט,1
"װידער.
",1
אַראָפּגענומען,20
דעק,32
קוק,50
טרוקן,17
צװאַנציקסטן,36
אױסגעטריקנט,19
זאַך,265
פֿרוכפּערן,10
משפּחות,169
מזבזח,1
אױפֿגעבראַכט,78
בראַנדאָפּפֿער,275
מזבח,335
געשמעקט,2
געשמאַקן,41
ריח,44
פֿאַרשילטן,4
מענטשנס,36
שלעכט,103
יוגנט,54
דערשלאָגן,87
לאַנג,42
זײאונג,1
שניט,34
קעלט,6
היץ,16
זומער,9
װינטער,5
"אױפֿהערן.

",1
אײַער,541
שרעק,47
װידמענט,7
פֿישן,9
איבערגעגעבן,66
גרינע,4
נפֿשות,56
אױפֿמאָנען,6
איטלעכער,423
פֿאַרגיסט,3
פֿאַרגאָסן,23
שטעל,37
זאַכן,185
פֿאַרשניטן,103
מבול-געװיסער,1
גיב,121
אײביקע,39
דורות,7
בױגן,51
אַרײַנגעטאָן,45
װאָלקן,94
טו,220
װאָלקענען,1
דערמאָנען,62
קוקן,25
אײביקן,43
אױפֿגעשטעלט,94
יֶפֿת,3
כּנַעַן,72
צעשפּרײט,62
אַקערמאַן,3
װײַנגאָרטן,42
געטרונקען,47
װײַן,156
שיכּור,5
אָפּגעדעקט,7
געצעלט,128
נאַקעטקײט,11
דערצײלט,147
ברידער,315
דרױסן,38
מאַנטל,43
אַרױפֿגעטאָן,63
אַקסלען,9
הינטערװײַלעכס,1
צוגעדעקט,28
פּנימער,33
אַהינטער,18
אױסגעניכטערט,1
געמערקט,16
ייִנגערער,9
קנעכט,753
געלױבט,62
יהוה,1406
דערברײטערן,5
יֶפֿתן,4
רוען,85
"זײ.
",54
נאָכן,26
"געשטאָרבן.

",3
גומֶר,1
מָגוג,3
מָדַי,20
יָוָן,6
תּובַל,1
מֶשֶך,9
תּירָס,2
גומֶרן,1
אַשכּנַז,3
ריפֿת,2
תּוֹגַרמָה,2
יָוָנען,2
אֶלישָה,2
תַּרשיש,10
כִּתּים,5
דודָנים,1
אינדזלען,28
פֿעלקער,528
לענדער,66
לשון,15
"פֿעלקער.
",6
מִצרַיִם,404
פּוט,4
כּושן,2
סבאָ,1
סַבתָּה,1
רַעְמָה,1
סַבתּכאָ,1
רַעְמָהן,1
שבאָ,2
דדָן,8
נִמרודן,1
ערשטער,26
מאַכטיקער,18
יעגער,2
נִמרוד,1
קיניגרײַך,43
בבל,2
אֶרֶך,1
אַכַּד,1
כַּלנֵה,2
שִנעָר,8
נינוֵה,15
רחובות-עיר,1
כֶּלַח,2
רֶסֶן,1
לודים,3
עַנָמים,2
להָבים,1
נַפֿתּוחים,2
פַּתרוסים,2
כַּסלוחים,2
װאַנען,93
פּלשתּים,114
אַרױסגעקומען,26
"כַּפֿתּורים.
",1
כְּנַעַן,5
צידון,13
בכור,6
חֵתן,2
יבוסי,1
אֶמורי,15
גִרגָשי,6
חִוִי,14
עַרקי,2
סיני,3
אַרוָדי,2
צמָרי,2
חַמָתי,1
כּנַעֲני,38
געמאַרק,201
כּנעֲני,1
גײסט,25
גרָר,9
עַזָה,14
סדום,29
עַמורָה,13
אַדמָה,4
צבױִם,3
לֶשַע,1
לשונות,3
עֵבֶר,3
עלטערן,318
עֵילָם,24
אַרפַּכשַד,4
לוד,5
אַרָם,27
אַרָמען,1
עוץ,8
חול,2
גֶתֶר,2
מַש,1
שֶלַחן,4
שֶלַח,6
